classical_3x3,quantum_3x3,classical_4x4,quantum_4x4
-1.3599999999999999,-1.3599999999999999,-1.2,-1.04
-1.16,-1.28,-2.2,-1.04
-1.24,-1.04,-1.16,-1.04
0.72,-1.04,0.6000000000000001,-1.04
-1.04,-1.3599999999999999,0.11999999999999977,-0.5600000000000007
-1.24,-1.16,0.0399999999999997,-1.04
-1.04,-1.04,-1.08,-1.48
-1.08,-1.16,-1.6,-1.16
-1.44,-1.3599999999999999,-1.16,0.11999999999999977
-1.24,-1.2,-1.16,-1.08
-1.44,0.56,0.4,-1.24
-1.12,-1.3599999999999999,-1.32,-2.000000000000001
-1.04,0.1599999999999998,-1.04,-1.3599999999999999
-1.24,-1.32,0.11999999999999977,-1.08
-1.12,-1.3599999999999999,-1.16,-1.28
-1.16,-1.48,-1.08,-1.16
-1.6,-1.08,-1.6,-1.2
-1.44,-1.12,-1.32,-1.12
-1.6800000000000002,-1.56,-1.08,-1.48
-1.04,-1.6400000000000001,0.11999999999999977,-2.000000000000001
-1.32,-1.2,-1.04,-1.24
-2.16,0.88,-1.04,-1.08
-1.3599999999999999,-1.52,-1.08,-1.4
0.2799999999999999,-1.7200000000000002,-1.08,-2.000000000000001
-1.2,-1.08,-1.7200000000000002,-1.08
-1.2,-1.08,0.72,-1.48
-1.24,-1.32,-1.56,-0.3200000000000005
-1.12,-1.04,-1.28,-1.48
-1.28,0.36,-1.12,-1.2
0.76,-1.3599999999999999,-1.04,-0.7200000000000009
0.8,-1.32,-1.24,-1.44
-1.3599999999999999,-0.0800000000000003,-1.12,-1.16
0.8,-1.08,-0.7200000000000009,-1.16
-1.4,0.64,-1.12,-2.6800000000000006
0.84,-1.4,-1.04,-1.48
-1.4,-1.3599999999999999,0.23999999999999988,-1.32
-1.4,-1.12,-1.24,-1.04
-1.4,-1.48,-0.880000000000001,-1.28
-1.6,-1.28,-1.04,-1.12
-1.52,-1.08,-1.7200000000000002,-1.16
-1.12,-1.3599999999999999,0.31999999999999995,-0.24000000000000044
-1.2,-1.16,-1.3599999999999999,-1.04
-1.8000000000000003,-1.12,-1.4,-1.32
